Time (s),Position (m)
0.0,0.0
0.10101010101010101,0.5306101521283647
0.20202020202020202,1.1224406085134588
0.30303030303030304,1.7754913691552822
0.40404040404040403,2.4897624340538347
0.5050505050505051,3.2652538032091166
0.6060606060606061,4.101965476621128
0.7070707070707071,4.999897454289868
0.8080808080808081,5.959049736215337
0.9090909090909091,6.979422322397536
1.0101010101010102,8.061015212836463
1.1111111111111112,9.20382840753212
1.2121212121212122,10.407861906484506
1.3131313131313131,11.67311570969362
1.4141414141414141,12.999589817159464
1.5151515151515151,14.387284228882037
1.6161616161616161,15.83619894486134
1.7171717171717171,17.34633396509737
1.8181818181818181,18.91768928959013
1.9191919191919191,20.55026491833962
2.0202020202020203,22.24406085134584
2.121212121212121,23.99907708860879
2.2222222222222223,25.81531363012847
2.323232323232323,27.69277047590488
2.4242424242424243,29.63144762593802
2.525252525252525,31.63134508022789
2.6262626262626263,33.69246283877449
2.727272727272727,35.81480090157781
2.8282828282828283,37.99835926863786
2.929292929292929,40.24313793995464
3.0303030303030303,42.54913691552814
3.131313131313131,44.91635619535837
3.2323232323232323,47.34479577944533
3.3333333333333335,49.83445566778902
3.4343434343434343,52.38533586038943
3.5353535353535355,54.99743635724657
3.6363636363636362,57.67075715836044
3.7373737373737375,60.40529826373104
3.8383838383838382,63.20105967335836
3.9393939393939394,66.05804138724241
4.040404040404041,68.9762434053832
4.141414141414141,71.9556657277807
4.242424242424242,74.99630835443493
4.343434343434343,78.09817128534589
4.444444444444445,81.26125452051358
4.545454545454545,84.485558059938
4.646464646464646,87.77108190361914
4.747474747474747,91.11782605155702
4.848484848484849,94.52579050375163
4.94949494949495,97.99497526020296
5.05050505050505,101.52538032091102
5.151515151515151,105.11700568587581
5.252525252525253,108.76985135509733
5.353535353535354,112.48391732857558
5.454545454545454,116.25920360631055
5.555555555555555,120.09571018830226
5.656565656565657,123.9934370745507
5.757575757575758,127.95238426505586
5.858585858585858,131.97255175981775
5.959595959595959,136.05393955883637
6.0606060606060606,140.19654766211172
6.161616161616162,144.4003760696438
6.262626262626262,148.6654247814326
6.363636363636363,152.99169379747814
6.4646464646464645,157.3791831177804
6.565656565656566,161.8278927423394
6.666666666666667,166.33782267115513
6.767676767676767,170.90897290422758
6.8686868686868685,175.54134344155677
6.96969696969697,180.2349342831427
7.070707070707071,184.98974542898534
7.171717171717171,189.8057768790847
7.2727272727272725,194.6830286334408
7.373737373737374,199.62150069205363
7.474747474747475,204.6211930549232
7.575757575757575,209.6821057220495
7.6767676767676765,214.8042386934325
7.777777777777778,219.98759196907224
7.878787878787879,225.2321655489687
7.979797979797979,230.5379594331219
8.080808080808081,235.90497362153183
8.181818181818182,241.3332081141985
8.282828282828282,246.82266291112188
8.383838383838384,252.373338012302
8.484848484848484,257.98523341773885
8.585858585858587,263.6583491274324
8.686868686868687,269.3926851413827
8.787878787878787,275.1882414595897
8.88888888888889,281.0450180820535
8.98989898989899,286.963015008774
9.09090909090909,292.9422322397513
9.191919191919192,298.9826697749853
9.292929292929292,305.084327614476
9.393939393939394,311.2472057582234
9.494949494949495,317.4713042062275
9.595959595959595,323.7566229584883
9.696969696969697,330.1031620150058
9.797979797979798,336.51092137578
9.8989898989899,342.9799010408109
10.0,349.5101010100985
